dog_type,O,C,E,A,N
Friendly Family Dog,3.496714153011233,2.861735698828815,4.6476885381006925,5.0,1.765846625276664
Friendly Family Dog,2.7658630430508193,4.5792128155073915,4.7674347291529084,4.530525614065048,2.5425600435859645
Friendly Family Dog,2.5365823071875377,2.534270246429743,4.241962271566035,3.086719755342202,1.0
Friendly Family Dog,2.437712470759027,1.9871688796655762,4.314247332595274,4.091975924478789,1.0
Friendly Family Dog,4.465648768921554,2.774223699513464,4.067528204687924,3.575251813786543,1.4556172754748173
Friendly Family Dog,3.1109225897098662,1.8490064225776972,4.3756980183456715,4.399361310081195,1.7083062502067232
Friendly Family Dog,2.398293387770603,4.852278184508938,3.986502775262066,3.9422890710441,2.822544912103189
Friendly Family Dog,1.7791563500289778,3.2088635950047553,2.040329876120224,3.6718139511015693,2.1968612358691235
Friendly Family Dog,3.7384665799954107,3.1713682811899706,3.8843517176117595,4.698896304410711,1.0
Friendly Family Dog,2.2801557916052912,2.5393612290402126,5.0,5.0,1.0
Friendly Family Dog,3.324083969394795,2.6149177195836835,3.3230779996940414,5.0,3.030999522495951
Friendly Family Dog,3.931280119116199,2.1607824767773613,3.6907876241487854,5.0,2.975545127122359
Friendly Family Dog,2.52082576215471,2.814341023336183,2.893665025993972,3.803793375919329,2.812525822394198
Friendly Family Dog,4.356240028570823,2.927989878419666,5.0,5.0,1.3548802453948756
Friendly Family Dog,3.361395605508414,4.538036566465969,3.9641739608900486,5.0,1.0
Friendly Family Dog,3.821902504375224,3.087047068238171,3.700992649534132,5.0,1.0
Friendly Family Dog,2.780328112162488,3.3571125715117462,5.0,4.481729781726353,1.1915063971068123
Friendly Family Dog,2.4982429564154636,3.915402117702074,4.3287511096596845,4.470239796232962,2.513267433113356
Friendly Family Dog,3.0970775493480405,3.9686449905328893,3.2979469061226476,4.672337853402232,1.6078918468678425
Friendly Family Dog,1.5364850518678814,3.296120277064576,4.261055272179889,5.0,1.7654128666248525
Friendly Family Dog,1.5846292579495858,2.579354677234641,3.6572854834732307,4.197722730778381,1.8387142883339909
Friendly Family Dog,3.4040508568145382,4.88618590121053,4.174577812831839,5.0,1.9255540842338328
Friendly Family Dog,1.0812287847009585,2.9734861245507833,4.060230209941026,5.0,1.8076390352188776
Friendly Family Dog,3.3015473423336124,2.9652882302947567,2.8313219623804677,5.0,2.7519330326867744
Friendly Family Dog,3.791031947043047,2.090612545205261,5.0,3.598148937207719,2.5868570938002704
Friendly Family Dog,5.0,2.0094636748693118,3.433702270397228,5.0,1.4965243458838007
Friendly Family Dog,1.4493365689338673,3.0685629748060275,2.937696286273895,5.0,1.0805757657661967
Friendly Family Dog,4.54993440501754,2.216746707663763,3.6779384837943243,5.0,1.0
Friendly Family Dog,3.2274599346041293,4.307142754282428,2.3925167654387725,5.0,2.2598827942484236
Friendly Family Dog,3.78182287177731,1.763049289121918,2.6795433869157237,5.0,2.2969846732331862
Friendly Family Dog,3.2504928503458768,3.346448209496976,3.3199752784215093,5.0,2.293072473298681
Friendly Family Dog,2.285648581973632,4.865774511144757,4.4738329209117875,3.8086965027973516,2.6565536086338297
Friendly Family Dog,2.0253183297726784,3.787084603742452,5.0,4.179317681648289,2.9633761292443217
Friendly Family Dog,3.4127809269364984,3.82206015999449,5.0,4.754611883997129,1.2462638356425104
Friendly Family Dog,2.1104855703744767,2.1841897150345617,3.922898290585896,5.0,2.276690799330019
Friendly Family Dog,3.8271832490360236,3.013001891877907,5.0,4.735343166762044,4.720169166589619
Friendly Family Dog,3.625667347765006,2.1428424435837172,2.929107501938888,5.0,1.7765372146741492
Friendly Family Dog,3.714000494092092,3.473237624573545,3.9271710873431274,4.153206281931595,1.0
Friendly Family Dog,2.5534850479329787,3.8563987943234723,4.214093744130204,3.754261221288012,2.173180925851182
Friendly Family Dog,3.385317379728837,2.116142563798867,4.153725105945528,5.0,1.0
Friendly Family Dog,3.3577873603482833,3.5607845263682343,5.0,5.0,1.0
Friendly Family Dog,2.062174960084877,3.5150352672086598,4.513785950912209,5.0,5.0
Friendly Family Dog,3.570890510693167,4.135565640180599,4.954001763493203,5.0,1.6847307553596544
Friendly Family Dog,3.758969220493267,2.227174785462428,3.763181393259991,4.514636452170897,2.0818741393863225
Friendly Family Dog,5.0,1.1327348074082517,4.686260190374513,3.3872841288103483,1.5280681342105664
Friendly Family Dog,4.088950596967367,3.0642800190954627,2.922255222070694,4.284696290740031,2.679597748934676
Friendly Family Dog,2.2696333682828636,3.216458589581975,4.045571839903814,4.348399652394183,4.143944089325325
Friendly Family Dog,3.633919022318011,1.0,4.186454314769428,4.338213535231612,2.852433334796224
Friendly Family Dog,2.2074792615672996,2.885263558533101,4.504987278980457,5.0,1.0
Friendly Family Dog,2.6654987641590515,2.525054688839044,3.3466707674262883,5.0,2.4049817109609557
Friendly Family Dog,1.7391160456649548,3.917861947054776,5.0,5.0,1.0
Friendly Family Dog,2.5157659271337485,4.2669111491866225,3.292330534381219,5.0,2.7746340534293368
Friendly Family Dog,2.073069528421917,2.9404746439382,1.0,3.9756123586657104,1.7474318486068396
Friendly Family Dog,1.7522168180351505,4.632411303931635,2.5698586220393675,4.5599555133030165,2.1307405772860912
Friendly Family Dog,4.441273289066116,1.5641378488205606,5.0,5.0,1.018491348952049
Friendly Family Dog,3.462103474263271,3.19905969557347,3.3997831228412054,5.0,1.61468640313824
Friendly Family Dog,3.113517345251248,3.6621306745210465,5.0,3.762184501173151,4.133033374656266
Friendly Family Dog,1.0479122004774981,2.8482149049644168,4.588317206484576,5.0,1.377300480179406
Friendly Family Dog,2.7918777496427247,2.5069990653411667,3.410635243055788,5.0,2.3570154859650474
Friendly Family Dog,2.3070904047393457,3.8995998754332506,4.307299520876609,5.0,2.629628841923612
Friendly Family Dog,2.1710049890779275,2.43981895980303,4.747293605123262,5.0,1.9790984060358519
Friendly Family Dog,3.117327383308782,4.2776648957884245,3.40842861116417,5.0,1.797807347566106
Friendly Family Dog,2.78231879677278,4.09877685198719,4.82541634898803,5.0,3.305478807154329
Friendly Family Dog,3.021003841632759,3.681952971294964,3.689733243406544,5.0,1.8698569456323155
Friendly Family Dog,3.0969959649927183,3.5951570254369134,3.1817793167665274,5.0,1.0
Friendly Family Dog,1.7858113872122678,4.158110873500068,4.791662693962936,5.0,2.62834550926428
Friendly Family Dog,2.9877532271530853,2.1027456285141684,4.075804558193727,4.322838288487889,2.9751197334177513
Friendly Family Dog,2.8529426184978615,2.1745028032074885,3.6786141583470067,5.0,1.436275447196025
Friendly Family Dog,2.1777796044335687,3.2436872114919124,4.244966571108723,4.49305682462887,1.5289616943816773
Friendly Family Dog,3.2320499373576363,1.5519156585026759,2.5925362256234448,4.281555778747564,1.7865528482881528
Friendly Family Dog,3.3109075655980047,4.475356216949552,4.85765962320202,4.840061470036573,1.9809837920973112
Friendly Family Dog,1.9974706353621912,2.98148686400761,3.711341361079862,5.0,1.172769056447677
Friendly Family Dog,3.5193465142411724,4.532738913002578,3.8912398515431423,5.0,2.6901439917111123
Friendly Family Dog,2.598779528114164,3.2240924818104166,4.012592400781795,5.0,1.2269902161445336
Friendly Family Dog,3.0245101742589426,3.4979982912454495,5.0,5.0,4.153182457511557
Friendly Family Dog,2.2326524371119505,3.872320636720678,4.183342005738352,5.0,1.1917017146448485
Friendly Family Dog,2.160278157819224,2.400607354555978,1.8761042756901931,4.474244978319239,1.240867338446302
Friendly Family Dog,3.1503937864762075,3.3417559757771595,5.0,5.0,1.4230963443375968
Friendly Family Dog,2.101585328651642,3.4919191715065057,2.6797667929793576,5.0,3.179440120721287
Friendly Family Dog,2.530824347895295,1.286865470909122,5.0,4.885460154747382,3.2378163119734618
Friendly Family Dog,1.405572341205633,2.400624977046227,4.005243699718183,5.0,1.5499345285207564
Friendly Family Dog,3.6228499323474987,1.9323795706174056,3.8576205149787066,5.0,2.514438834058749
Friendly Family Dog,3.7116148780888896,1.875357908162131,2.4658858292643777,5.0,2.3323140119795918
Friendly Family Dog,2.2515134634434464,4.551151975522523,4.1156746342928585,5.0,2.067518481410109
Friendly Family Dog,5.0,4.755340842443204,3.7510358515209266,5.0,2.6453759495851474
Friendly Family Dog,4.368631557532349,2.0350765394198955,4.686051459998439,5.0,1.0
Friendly Family Dog,1.816741487334225,1.0,3.7305931655554425,5.0,3.502357052096028
Friendly Family Dog,3.074094780419775,4.628615545571292,2.6198985417851084,3.2966175606448456,1.9444523011033812
Friendly Family Dog,3.384065448939307,2.967305251905907,1.9325578999601234,4.910879960487212,1.0
Friendly Family Dog,3.6696725488300386,3.3665982460968484,3.060120213672645,4.486133082663306,1.0
Friendly Family Dog,2.937320902726828,3.9551423205012384,3.014273953664456,5.0,1.4697423816275592
Friendly Family Dog,2.2071271677376556,2.8929696400454423,2.964757677580626,4.446350694652818,1.0
Friendly Family Dog,4.9647251329163895,3.035263551971729,3.3002744920074147,5.0,1.8876719503091703
Friendly Family Dog,2.7790304004667776,3.614166700043425,4.757507710047305,4.4694988523894725,1.4241817593553199
Friendly Family Dog,2.724948302848356,1.0,2.484808937801448,5.0,3.6449677135012837
Friendly Family Dog,2.7509639604436216,3.5765569630557663,4.311250154543536,5.0,3.1195749114345768
Friendly Family Dog,2.8720824085192334,2.0444595593995745,2.3935536797424275,5.0,1.2436492547156965
Friendly Family Dog,1.5777462904023258,2.3534271157574733,2.918451996385605,5.0,2.8816397569494505
Friendly Family Dog,2.9920273586833828,4.479944138890026,4.077368307647618,4.138715798671736,3.5231240772696575
Friendly Family Dog,3.5389100436846586,1.9627538456735436,3.809661321916392,4.124381746615242,1.0
Friendly Family Dog,3.9261775475316414,4.9094166404701305,2.6014324261808586,5.0,1.3493574308781728
Friendly Family Dog,2.5128746162353037,2.407606075761131,3.136009230320184,5.0,1.1690498835889622
Friendly Family Dog,3.270456825779839,2.949761890550863,3.7610519531335904,4.092436337958402,1.4232286694316674
Friendly Family Dog,3.755391225825756,3.5009171876243808,3.022444755201449,5.0,2.751387123371789
Friendly Family Dog,1.3305947188786282,3.543360192379935,3.3373762410541534,5.0,1.2367408434574831
